stage,input_size_factor,runtime,source
fastqc,1.75,252.0,real
trimming,1.75,587.0,real
alignment,1.75,2333.0,real
sort_index,1.75,1004.0,real
markdup,1.75,1481.0,real
quant,1.75,521.0,real
fastqc,1.4,210.0,real
trimming,1.4,335.0,real
alignment,1.4,2568.0,real
sort_index,1.4,712.0,real
markdup,1.4,1039.0,real
quant,1.4,687.0,real
fastqc,2.1,287.0,real
trimming,2.1,635.0,real
alignment,2.1,2736.0,real
sort_index,2.1,1173.0,real
markdup,2.1,1500.0,real
quant,2.1,939.0,real
fastqc,1.0,167.0,real
trimming,1.0,251.0,real
alignment,1.0,1749.0,real
sort_index,1.0,455.0,real
markdup,1.0,527.0,real
quant,1.0,500.0,real
fastqc,0.75,79.0,real
trimming,0.75,272.0,real
alignment,0.75,1283.0,real
sort_index,0.75,409.0,real
markdup,0.75,454.0,real
quant,0.75,309.0,real
fastqc,2.5,293.0,real
trimming,2.5,819.0,real
alignment,2.5,4796.0,real
sort_index,2.5,930.0,real
markdup,2.5,1518.0,real
quant,2.5,787.0,real
fastqc,1.9,245.0,real
trimming,1.9,463.0,real
alignment,1.9,3910.0,real
sort_index,1.9,757.0,real
markdup,1.9,1586.0,real
quant,1.9,531.0,real
fastqc,0.6,114.0,real
trimming,0.6,190.0,real
alignment,0.6,846.0,real
sort_index,0.6,266.0,real
markdup,0.6,377.0,real
quant,0.6,189.0,real
fastqc,0.9,121.0,real
trimming,0.9,284.0,real
alignment,0.9,2163.0,real
sort_index,0.9,450.0,real
markdup,0.9,695.0,real
quant,0.9,391.0,real
fastqc,2.25,385.0,real
trimming,2.25,867.0,real
alignment,2.25,2950.0,real
sort_index,2.25,768.0,real
markdup,2.25,1710.0,real
quant,2.25,786.0,real
fastqc,0.25,30.5,wfcommons
trimming,0.25,81.5,wfcommons
alignment,0.25,247.5,wfcommons
sort_index,0.25,75.0,wfcommons
markdup,0.25,161.0,wfcommons
quant,0.25,96.5,wfcommons
fastqc,0.25,32.0,wfcommons
trimming,0.25,78.5,wfcommons
alignment,0.25,287.0,wfcommons
sort_index,0.25,75.0,wfcommons
markdup,0.25,95.5,wfcommons
quant,0.25,58.0,wfcommons
fastqc,0.5,114.0,wfcommons
trimming,0.5,106.5,wfcommons
alignment,0.5,1035.0,wfcommons
sort_index,0.5,227.5,wfcommons
markdup,0.5,391.5,wfcommons
quant,0.5,167.0,wfcommons
fastqc,0.5,102.0,wfcommons
trimming,0.5,109.0,wfcommons
alignment,0.5,1178.5,wfcommons
sort_index,0.5,165.0,wfcommons
markdup,0.5,371.5,wfcommons
quant,0.5,195.0,wfcommons
fastqc,0.5,88.5,wfcommons
trimming,0.5,199.0,wfcommons
alignment,0.5,955.5,wfcommons
sort_index,0.5,313.0,wfcommons
markdup,0.5,307.5,wfcommons
quant,0.5,214.5,wfcommons
fastqc,0.5,87.0,wfcommons
trimming,0.5,103.5,wfcommons
alignment,0.5,903.5,wfcommons
sort_index,0.5,239.0,wfcommons
markdup,0.5,295.0,wfcommons
quant,0.5,167.0,wfcommons
fastqc,0.5,96.5,wfcommons
trimming,0.5,106.5,wfcommons
alignment,0.5,744.5,wfcommons
sort_index,0.5,282.0,wfcommons
markdup,0.5,396.0,wfcommons
quant,0.5,208.0,wfcommons
fastqc,1.0,130.0,wfcommons
trimming,1.0,357.0,wfcommons
alignment,1.0,1936.5,wfcommons
sort_index,1.0,599.0,wfcommons
markdup,1.0,506.5,wfcommons
quant,1.0,315.5,wfcommons
fastqc,1.0,133.5,wfcommons
trimming,1.0,267.0,wfcommons
alignment,1.0,2081.5,wfcommons
sort_index,1.0,329.5,wfcommons
markdup,1.0,531.0,wfcommons
quant,1.0,396.5,wfcommons
fastqc,1.0,107.5,wfcommons
trimming,1.0,413.5,wfcommons
alignment,1.0,1894.5,wfcommons
sort_index,1.0,357.0,wfcommons
markdup,1.0,487.5,wfcommons
quant,1.0,493.0,wfcommons
fastqc,1.0,154.0,wfcommons
trimming,1.0,241.5,wfcommons
alignment,1.0,1727.5,wfcommons
sort_index,1.0,299.5,wfcommons
markdup,1.0,765.0,wfcommons
quant,1.0,361.5,wfcommons
fastqc,1.0,140.5,wfcommons
trimming,1.0,451.5,wfcommons
alignment,1.0,1542.5,wfcommons
